time,open,high,low,close
1/3/2018,25844.20,25844.20,25843.29,25843.29,2.00
1/4/2018,25803.78,25803.78,25283.06,25320.77,30.00
1/5/2018,25275.83,25618.13,25084.33,25617.22,9.00
1/8/2018,25566.66,25566.66,25227.85,25479.73,10.00
1/9/2018,25460.98,25645.89,25360.06,25366.77,14.00
1/10/2018,25171.49,25182.74,24870.15,25181.82,19.00
1/11/2018,25138.49,25142.38,24653.37,25141.47,20.00
1/12/2018,25060.49,25885.93,25060.49,25885.02,3.00
1/16/2018,25727.84,26859.09,25607.79,26859.09,8.00
1/17/2018,27053.72,27310.08,26467.71,27309.12,13.00
1/18/2018,27215.87,27215.87,26342.51,26406.44,25.00
1/19/2018,26349.38,26468.13,26029.00,26250.66,20.00
1/22/2018,26243.40,27327.78,26179.36,27326.84,5.00
1/23/2018,27424.04,27424.04,26843.51,27061.11,14.00
1/24/2018,26977.33,27503.20,26815.34,27070.77,16.00
1/25/2018,27114.46,27182.93,26527.87,26860.22,24.00
1/26/2018,26770.35,27126.41,26099.33,27125.45,13.00
1/29/2018,27175.35,27219.87,26219.78,26219.78,29.00
1/30/2018,25963.41,26067.14,25643.96,25643.96,19.00
1/31/2018,25662.08,25662.08,24841.57,24841.57,25.00
2/1/2018,24994.97,25579.15,24734.02,25579.15,7.00
2/2/2018,25499.72,26290.90,25125.22,26290.90,15.00
2/5/2018,25979.88,29469.36,25585.50,29469.36,16.00
2/6/2018,28519.54,29945.14,27181.18,29944.08,19.00
2/7/2018,29589.36,30641.15,29253.56,30641.15,11.00
2/8/2018,30526.85,33595.58,29107.01,33595.58,15.00
2/9/2018,33145.08,33745.07,31231.95,33743.85,21.00
2/12/2018,33666.99,33773.32,32902.24,33772.10,10.00
2/13/2018,33428.87,33428.87,31181.27,31997.01,25.00
2/14/2018,32327.06,34568.44,32117.38,34567.29,4.00
2/15/2018,34692.49,35775.52,33878.38,35774.27,13.00
2/16/2018,35627.39,35692.17,34948.78,35603.37,13.00
2/20/2018,36304.83,36782.19,36043.97,36782.19,7.00
2/21/2018,36692.26,36780.86,34716.18,36366.06,26.00
2/22/2018,36524.10,36549.11,35428.55,36329.52,15.00
2/23/2018,36240.72,37422.74,35506.49,37421.44,15.00
2/26/2018,37297.54,37945.74,37080.40,37944.40,10.00
2/27/2018,37818.30,39477.77,37564.84,39477.77,12.00
2/28/2018,39319.33,41435.30,39319.33,41435.30,9.00
3/1/2018,41346.20,42864.33,40679.02,42864.33,15.00
3/2/2018,42980.16,44485.81,41298.25,44484.27,12.00
3/5/2018,44452.02,46317.33,43495.59,46315.73,14.00
3/6/2018,46173.12,46173.12,43521.04,43521.04,31.00
3/7/2018,43832.74,44056.73,42916.03,44055.17,20.00
3/8/2018,43951.37,43951.37,41545.09,41792.87,38.00
3/9/2018,41626.95,43107.28,41123.97,43105.78,8.00
3/12/2018,43074.45,43382.28,42707.64,42707.64,15.00
3/13/2018,42510.71,45543.01,42481.43,45543.01,6.00
3/14/2018,45426.96,45667.98,43654.68,43949.57,21.00
3/15/2018,43947.99,44076.49,42645.35,43073.01,36.00
3/16/2018,42982.92,42982.92,42090.78,42960.98,17.00
3/19/2018,42878.08,43573.18,42076.79,43573.18,14.00
3/20/2018,43541.92,43541.92,41106.17,41333.62,30.00
3/21/2018,41203.57,41203.57,39995.82,40947.63,26.00
3/22/2018,40748.83,40748.83,38422.17,40173.66,29.00
3/23/2018,40094.78,40754.15,37197.91,40754.15,25.00
3/26/2018,40804.50,43106.95,39630.71,43105.49,18.00
3/27/2018,43187.37,48115.07,42123.04,48115.07,16.00
3/28/2018,47847.55,48430.72,38099.21,38755.73,45.00
3/29/2018,38530.56,39896.99,37468.98,39895.59,12.00
4/2/2018,39572.87,42767.81,39542.81,42623.23,6.00
4/3/2018,42319.43,42415.22,41050.22,42413.68,20.00
4/4/2018,42885.82,45131.63,40272.23,45130.10,16.00
4/5/2018,44747.67,44958.80,43700.78,43700.78,19.00
4/6/2018,44327.78,44775.28,41968.54,44775.28,23.00
4/9/2018,44684.72,47307.73,44001.84,47307.73,11.00
4/10/2018,46977.61,47517.52,45923.27,47078.94,18.00
4/11/2018,47114.13,47114.13,43014.04,43679.24,33.00
4/12/2018,43625.09,43632.04,42486.73,42486.73,22.00
4/13/2018,42445.05,43117.89,42098.26,42901.21,17.00
4/16/2018,43322.07,43322.07,41674.41,41746.79,27.00
4/17/2018,41694.43,43533.70,41611.57,43532.20,5.00
4/18/2018,43478.23,44020.67,43382.35,44019.10,7.00
4/19/2018,43934.06,43934.06,42224.34,42224.34,23.00
4/20/2018,42869.20,44000.46,42537.96,44000.46,6.00
4/23/2018,44020.45,44247.39,43082.45,44247.39,14.00
4/24/2018,43964.77,46793.07,42619.96,46793.07,11.00
4/25/2018,46756.00,47792.93,46496.62,47392.86,13.00
4/26/2018,47001.75,47961.09,46597.69,47959.38,9.00
4/27/2018,50501.71,50501.71,50501.71,50501.71,2.00
4/30/2018,50253.31,52074.60,49491.35,52074.60,13.00
5/1/2018,51826.10,51826.10,49164.90,51518.10,25.00
5/2/2018,51680.69,51680.69,50301.47,51489.65,18.00
5/3/2018,51349.07,52478.94,50525.74,52477.08,16.00
5/4/2018,52279.89,56284.55,51679.01,56282.66,5.00
5/7/2018,56226.28,56919.37,55168.32,55315.23,22.00
5/8/2018,55166.50,55166.50,49602.79,49734.10,53.00
5/9/2018,49457.23,49558.57,47742.17,49556.79,23.00
5/10/2018,49460.85,49460.85,48593.42,49409.69,17.00
5/11/2018,49328.07,49382.98,48630.49,48630.49,25.00
5/14/2018,48813.53,48813.53,47874.98,48569.24,19.00
5/15/2018,49294.52,49294.52,45772.00,45955.53,31.00
5/16/2018,45800.86,45800.86,44595.89,45028.42,23.00
5/17/2018,45007.04,45867.51,44635.52,45867.51,17.00
5/18/2018,45723.64,45723.64,43394.02,43654.93,32.00
5/21/2018,43913.18,44089.79,43307.04,44089.79,13.00
5/22/2018,43984.01,44340.06,43574.59,44340.06,14.00
5/23/2018,44881.17,46631.01,44493.85,46629.42,10.00
5/24/2018,46473.60,47249.23,46197.24,47247.55,13.00
5/25/2018,47158.51,47268.12,46726.85,46858.60,13.00
5/29/2018,46847.51,46847.51,44941.42,45336.57,20.00
5/30/2018,45229.77,45435.51,44868.94,45433.89,12.00
